,team_id,name,league,coach
0,529,Barcelona,La Liga,
1,530,Atletico Madrid,La Liga,
2,531,Athletic Club,La Liga,
3,532,Valencia,La Liga,
4,533,Villarreal,La Liga,
5,536,Sevilla,La Liga,
6,538,Celta Vigo,La Liga,
7,539,Levante,La Liga,
8,541,Real Madrid,La Liga,
9,542,Alaves,La Liga,
10,543,Real Betis,La Liga,
11,545,Eibar,La Liga,
12,546,Getafe,La Liga,
13,548,Real Sociedad,La Liga,
14,715,Granada CF,La Liga,
15,720,Valladolid,La Liga,
16,724,Cadiz,La Liga,
17,726,Huesca,La Liga,
18,727,Osasuna,La Liga,
19,797,Elche,La Liga,
20,540,Espanyol,La Liga,
21,728,Rayo Vallecano,La Liga,
22,798,Mallorca,La Liga,
23,547,Girona,La Liga,
24,723,Almeria,La Liga,
25,534,Las Palmas,La Liga,
26,537,Leganes,La Liga,
27,33,Manchester United,Premier League,
28,34,Newcastle,Premier League,
29,36,Fulham,Premier League,
30,39,Wolves,Premier League,
31,40,Liverpool,Premier League,
32,41,Southampton,Premier League,
33,42,Arsenal,Premier League,
34,44,Burnley,Premier League,
35,45,Everton,Premier League,
36,46,Leicester,Premier League,
37,47,Tottenham,Premier League,
38,48,West Ham,Premier League,
39,49,Chelsea,Premier League,
40,50,Manchester City,Premier League,
41,51,Brighton,Premier League,
42,52,Crystal Palace,Premier League,
43,60,West Brom,Premier League,
44,62,Sheffield Utd,Premier League,
45,63,Leeds,Premier League,
46,66,Aston Villa,Premier League,
47,38,Watford,Premier League,
48,55,Brentford,Premier League,
49,71,Norwich,Premier League,
50,35,Bournemouth,Premier League,
51,65,Nottingham Forest,Premier League,
52,1359,Luton,Premier League,
53,57,Ipswich,Premier League,
54,157,Bayern Munich,Bundesliga,
55,159,Hertha Berlin,Bundesliga,
56,160,SC Freiburg,Bundesliga,
57,161,VfL Wolfsburg,Bundesliga,
58,162,Werder Bremen,Bundesliga,
59,163,Borussia Monchengladbach,Bundesliga,
60,164,FSV Mainz 05,Bundesliga,
61,165,Borussia Dortmund,Bundesliga,
62,167,1899 Hoffenheim,Bundesliga,
63,168,Bayer Leverkusen,Bundesliga,
64,169,Eintracht Frankfurt,Bundesliga,
65,170,FC Augsburg,Bundesliga,
66,172,VfB Stuttgart,Bundesliga,
67,173,RB Leipzig,Bundesliga,
68,174,FC Schalke 04,Bundesliga,
69,182,Union Berlin,Bundesliga,
70,188,Arminia Bielefeld,Bundesliga,
71,191,Holstein Kiel,Bundesliga,
72,192,1.FC K̦ln,Bundesliga,
73,175,Hamburger SV,Bundesliga,
74,176,Vfl Bochum,Bundesliga,
75,178,SpVgg Greuther Furth,Bundesliga,
76,158,Fortuna Dusseldorf,Bundesliga,
77,180,FC Heidenheim,Bundesliga,
78,181,SV Darmstadt 98,Bundesliga,
79,487,Lazio,Serie A,
80,488,Sassuolo,Serie A,
81,489,AC Milan,Serie A,
82,490,Cagliari,Serie A,
83,492,Napoli,Serie A,
84,494,Udinese,Serie A,
85,495,Genoa,Serie A,
86,496,Juventus,Serie A,
87,497,AS Roma,Serie A,
88,498,Sampdoria,Serie A,
89,499,Atalanta,Serie A,
90,500,Bologna,Serie A,
91,501,Crotone,Serie A,
92,502,Fiorentina,Serie A,
93,503,Torino,Serie A,
94,504,Verona,Serie A,
95,505,Inter,Serie A,
96,506,Benevento,Serie A,
97,515,Spezia,Serie A,
98,523,Parma,Serie A,
99,511,Empoli,Serie A,
100,514,Salernitana,Serie A,
101,517,Venezia,Serie A,
102,520,Cremonese,Serie A,
103,867,Lecce,Serie A,
104,1579,Monza,Serie A,
105,512,Frosinone,Serie A,
